id,airport_name,city_name,country,iata_code,icao_code,latitude,longitude,type,scheduled_service,source
4650,Utirik Airport,Utirik Island,Marshall Islands,UTK,,11.222219,169.851429,small_airport,yes,OurAirports
6924,Ocean Reef Club Airport,Key Largo,United States,OCA,,25.325399,-80.274803,medium_airport,no,OurAirports
7139,Crested Butte Airpark,Crested Butte,United States,CSE,,38.851918,-106.928341,small_airport,no,OurAirports
7426,Columbus Airport,Columbus,United States,CUS,,31.823898,-107.629924,small_airport,no,OurAirports
7545,LBJ Ranch Airport,Stonewall,United States,JCY,,30.251801,-98.622498,small_airport,no,OurAirports
7866,Loring Seaplane Base,Loring,United States,WLR,,55.601299,-131.636993,seaplane_base,no,OurAirports
7977,Nunapitchuk Airport,Nunapitchuk,United States,NUP,,60.905591,-162.440454,small_airport,yes,OurAirports
7994,Port Alice Seaplane Base,Port Alice,United States,PTC,,55.803,-133.597,seaplane_base,no,OurAirports
8126,Icy Bay Airport,Icy Bay,United States,ICY,,59.966269,-141.660118,small_airport,no,OurAirports
8159,Port Protection Seaplane Base,Port Protection,United States,PPV,,56.3288,-133.610001,seaplane_base,yes,OurAirports
8383,Kalakaket Creek AS Airport,Kalakaket Creek,United States,KKK,,64.4166256967,-156.820392609,small_airport,no,OurAirports
8566,Dunsmuir Muni-Mott Airport,Dunsmuir,United States,MHS,,41.263199,-122.272003,small_airport,no,OurAirports
8753,Chase Field Industrial Airport,Beeville,United States,NIR,,28.362444,-97.661917,small_airport,no,OurAirports
8774,Grand Canyon Bar Ten Airstrip,Littlefield,United States,GCT,,36.257984,-113.231063,small_airport,no,OurAirports
8775,Ellamar Seaplane Base,Ellamar,United States,ELW,,60.893818,-146.704038,seaplane_base,no,OurAirports
9287,Lime Village Airport,Lime Village,United States,LVD,,61.3591003418,-155.440002441,small_airport,no,OurAirports
9294,Hog River Airport,Hogatza,United States,HGZ,,66.176133,-155.684816,small_airport,no,OurAirports
20770,Ed-Air Airport,Oaktown,United States,OTN,,38.851782,-87.49987,small_airport,no,OurAirports
9485,Telida Airport,Telida,United States,TLF,,63.393902,-153.268997,small_airport,no,OurAirports
